# time	AE	std
1981-09-04 00:00	122.166667	60.742984
1981-09-05 00:00	334.958333	132.250250
1981-09-06 00:00	179.541667	93.501908
1981-09-07 00:00	80.333333	28.391160
1981-09-08 00:00	183.125000	133.375349
1981-09-09 00:00	128.333333	71.529056
1981-09-10 00:00	105.083333	66.071053
1981-09-11 00:00	329.458333	182.615771
1981-09-12 00:00	318.875000	180.558870
1981-09-13 00:00	352.666667	176.817682
1981-09-14 00:00	201.541667	177.668470
1981-09-15 00:00	240.125000	166.716712
1981-09-16 00:00	205.583333	126.616819
1981-09-17 00:00	133.125000	53.248648
1981-09-18 00:00	79.625000	36.930973
1981-09-19 00:00	309.791667	262.590602
1981-09-20 00:00	87.250000	59.706711
1981-09-21 00:00	89.916667	84.136492
1981-09-22 00:00	250.500000	165.735252
1981-09-23 00:00	94.875000	95.306970
1981-09-24 00:00	61.416667	69.958321
1981-09-25 00:00	191.375000	89.866961
1981-09-26 00:00	287.833333	273.725452
1981-09-27 00:00	562.250000	158.970396
1981-09-28 00:00	217.250000	156.349733
1981-09-29 00:00	129.416667	60.520867
1981-09-30 00:00	184.916667	100.779103
1981-10-01 00:00	163.833333	94.864052
1981-10-02 00:00	129.333333	80.909325
1981-10-03 00:00	260.666667	170.297608
1981-10-04 00:00	340.625000	257.738123
1981-10-05 00:00	243.041667	132.264386
1981-10-06 00:00	64.000000	32.019016
1981-10-07 00:00	231.708333	145.045264
1981-10-08 00:00	443.791667	228.082170
1981-10-09 00:00	317.875000	194.162485
1981-10-10 00:00	222.708333	134.939754
1981-10-11 00:00	601.708333	194.433733
1981-10-12 00:00	439.041667	239.210746
1981-10-13 00:00	77.541667	54.598916
1981-10-14 00:00	442.250000	330.917861
1981-10-15 00:00	253.875000	132.924075
1981-10-16 00:00	166.333333	182.121953
1981-10-17 00:00	101.750000	80.796174
1981-10-18 00:00	76.500000	36.878178
1981-10-19 00:00	195.875000	205.228253
1981-10-20 00:00	349.291667	153.024431
1981-10-21 00:00	523.416667	300.019408
1981-10-22 00:00	279.166667	217.945679
1981-10-23 00:00	532.125000	265.784698
1981-10-24 00:00	148.375000	172.811989
1981-10-25 00:00	455.125000	164.290123
